Date,Mean GISTEMP,Mean GCAG
1880-01-06,-0.3,0.0009
1880-02-06,-0.21,-0.1229
1880-03-06,-0.18,-0.1357
1880-04-06,-0.27,-0.0499
1880-05-06,-0.14,-0.0738
1880-06-06,-0.29,-0.1692
1880-07-06,-0.24,-0.1491
1880-08-06,-0.08,-0.0725
1880-09-06,-0.17,-0.0817
1880-10-06,-0.16,-0.1786
1880-11-06,-0.19,-0.2672
1880-12-06,-0.22,-0.0775
1881-01-06,-0.1,-0.0205
1881-02-06,-0.14,-0.0296
1881-03-06,0.01,0.0348
1881-04-06,-0.03,0.0734
1881-05-06,-0.04,0.0284
1881-06-06,-0.28,-0.0892
1881-07-06,-0.07,-0.0329
1881-08-06,-0.03,-0.0519
1881-09-06,-0.09,-0.1824
1881-10-06,-0.2,-0.2207
1881-11-06,-0.26,-0.2194
1881-12-06,-0.16,-0.0439
1882-01-06,0.09,0.0883
1882-02-06,0.08,0.0385
1882-03-06,0.01,0.0754
1882-04-06,-0.2,-0.1241
1882-05-06,-0.18,-0.1459
1882-06-06,-0.25,-0.1391
1882-07-06,-0.11,-0.0666
1882-08-06,0.03,-0.0037
1882-09-06,-0.01,0.0077
1882-10-06,-0.23,-0.2101
1882-11-06,-0.21,-0.1279
1882-12-06,-0.25,-0.1705
1883-01-06,-0.34,-0.2707
1883-02-06,-0.42,-0.2915
1883-03-06,-0.18,-0.1326
1883-04-06,-0.25,-0.1746
1883-05-06,-0.26,-0.1455
1883-06-06,-0.13,-0.0066
1883-07-06,-0.09,-0.0849
1883-08-06,-0.14,-0.0526
1883-09-06,-0.19,-0.1467
1883-10-06,-0.12,-0.1612
1883-11-06,-0.21,-0.1683
1883-12-06,-0.19,-0.0738
1884-01-06,-0.18,-0.1843
1884-02-06,-0.13,-0.14300000000000002
1884-03-06,-0.36,-0.2061
1884-04-06,-0.36,-0.1809
1884-05-06,-0.32,-0.1282
1884-06-06,-0.38,-0.1939
1884-07-06,-0.35,-0.2985
1884-08-06,-0.27,-0.2698
1884-09-06,-0.24,-0.2238
1884-10-06,-0.22,-0.1695
1884-11-06,-0.3,-0.2692
1884-12-06,-0.3,-0.14400000000000002
1885-01-06,-0.66,-0.4267
1885-02-06,-0.3,-0.2558
1885-03-06,-0.24,-0.1473
1885-04-06,-0.45,-0.2564
1885-05-06,-0.42,-0.2787
1885-06-06,-0.5,-0.3052
1885-07-06,-0.29,-0.2375
1885-08-06,-0.27,-0.2407
1885-09-06,-0.19,-0.1963
1885-10-06,-0.2,-0.1289
1885-11-06,-0.22,-0.1262
1885-12-06,-0.07,0.05
1886-01-06,-0.43,-0.1143
1886-02-06,-0.46,-0.2795
1886-03-06,-0.41,-0.2823
1886-04-06,-0.29,-0.1679
1886-05-06,-0.27,-0.1573
1886-06-06,-0.39,-0.2468
1886-07-06,-0.16,-0.1599
1886-08-06,-0.31,-0.2146
1886-09-06,-0.19,-0.1969
1886-10-06,-0.25,-0.2261
1886-11-06,-0.26,-0.1952
1886-12-06,-0.25,-0.163
1887-01-06,-0.66,-0.3792
1887-02-06,-0.48,-0.3745
1887-03-06,-0.32,-0.1655
1887-04-06,-0.37,-0.1899
1887-05-06,-0.33,-0.239
1887-06-06,-0.21,-0.2149
1887-07-06,-0.19,-0.2707
1887-08-06,-0.28,-0.3148
1887-09-06,-0.19,-0.1827
1887-10-06,-0.32,-0.2995
1887-11-06,-0.25,-0.1572
1887-12-06,-0.38,-0.1988
1888-01-06,-0.43,-0.3871
1888-02-06,-0.43,-0.3288
1888-03-06,-0.47,-0.2974
1888-04-06,-0.28,-0.1761
1888-05-06,-0.22,-0.1561
1888-06-06,-0.2,-0.0943
1888-07-06,-0.1,-0.1149
1888-08-06,-0.11,-0.1633
1888-09-06,-0.07,-0.069
1888-10-06,0.01,0.019
1888-11-06,0.0,-0.0418
1888-12-06,-0.12,0.0445
1889-01-06,-0.21,-0.0944
1889-02-06,0.14,0.0152
1889-03-06,0.04,0.1207
1889-04-06,0.04,0.0496
1889-05-06,-0.03,-0.0326
1889-06-06,-0.12,-0.0698
1889-07-06,-0.05,-0.1604
1889-08-06,-0.18,-0.13699999999999998
1889-09-06,-0.18,-0.2264
1889-10-06,-0.22,-0.1913
1889-11-06,-0.32,-0.2769
1889-12-06,-0.31,-0.175
1890-01-06,-0.48,-0.3594
1890-02-06,-0.48,-0.4268
1890-03-06,-0.41,-0.3189
1890-04-06,-0.38,-0.2588
1890-05-06,-0.48,-0.3892
1890-06-06,-0.27,-0.2875
1890-07-06,-0.3,-0.2802
1890-08-06,-0.36,-0.3257
1890-09-06,-0.36,-0.3508
1890-10-06,-0.23,-0.2941
1890-11-06,-0.37,-0.3419
1890-12-06,-0.3,-0.2302
1891-01-06,-0.46,-0.3772
1891-02-06,-0.49,-0.5228
1891-03-06,-0.15,-0.212
1891-04-06,-0.25,-0.2523
1891-05-06,-0.17,-0.1374
1891-06-06,-0.22,-0.2023
1891-07-06,-0.22,-0.2264
1891-08-06,-0.21,-0.2313
1891-09-06,-0.13,-0.1514
1891-10-06,-0.24,-0.2861
1891-11-06,-0.37,-0.3968
1891-12-06,-0.03,-0.0421
1892-01-06,-0.26,-0.2372
1892-02-06,-0.15,-0.1353
1892-03-06,-0.36,-0.3032
1892-04-06,-0.35,-0.3203
1892-05-06,-0.25,-0.3081
1892-06-06,-0.2,-0.2831
1892-07-06,-0.28,-0.3497
1892-08-06,-0.2,-0.3279
1892-09-06,-0.25,-0.2198
1892-10-06,-0.17,-0.2464
1892-11-06,-0.49,-0.4728
1892-12-06,-0.29,-0.4708
1893-01-06,-0.69,-0.6796
